AAA001;BFYAAA001CLNT1;20130321-07:54:47;
AAA508;BFYAAA508CLNT1;20130322-13:37:48;
AAA510;BFYAAA510CLNT1;20130322-13:37:50;
AAA511;BFYAAA511CLNT1;20130322-13:37:51;
AAA512;BFYAAA512CLNT1;20130322-13:37:52;
AAA513;BFYAAA513CLNT1;20130322-13:37:53;
AAA514;BFYAAA514CLNT1;20130322-13:37:54;
AAA515;BFYAAA515CLNT1;20130322-13:37:55;
AAA516;BFYAAA516CLNT1;20130322-13:37:57;
AAA517;BFYAAA517CLNT1;20130322-13:37:58;
AAA518;BFYAAA518CLNT1;20130322-13:37:59;
AAA519;BFYAAA519CLNT1;20130322-13:38:00;
AAA520;BFYAAA520CLNT1;20130322-13:38:01;
AAA521;BFYAAA521CLNT1;20130322-13:38:02;
AAA522;BFYAAA522CLNT1;20130322-13:38:03;
AAA523;BFYAAA523CLNT1;20130322-13:38:04;
AAA525;BFYAAA525CLNT1;20130322-13:38:07;
AAA526;BFYAAA526CLNT1;20130322-13:38:08;
AAA527;BFYAAA527CLNT1;20130322-13:38:09;
AAA529;BFYAAA529CLNT1;20130322-13:41:59;
AAA531;BFYAAA531CLNT1;20130322-13:42:02;
AAA532;BFYAAA532CLNT1;20130322-13:42:03;
AAA533;BFYAAA533CLNT1;20130322-13:42:04;
AAA534;BFYAAA534CLNT1;20130322-13:42:05;
AAA535;BFYAAA535CLNT1;20130322-13:42:06;
AAA536;BFYAAA536CLNT1;20130322-13:42:07;
AAA537;BFYAAA537CLNT1;20130322-13:42:08;
AAA538;BFYAAA538CLNT1;20130322-13:42:10;
AAA539;BFYAAA539CLNT1;20130322-13:42:11;
AAA540;BFYAAA540CLNT1;20130322-13:42:12;
AAA541;BFYAAA541CLNT1;20130322-13:42:13;
AAA542;BFYAAA542CLNT1;20130322-13:42:14;
AAA543;BFYAAA543CLNT1;20130322-13:42:15;
AAA544;BFYAAA544CLNT1;20130322-13:42:16;
AAA546;BFYAAA546CLNT1;20130322-13:42:18;
AAA547;BFYAAA547CLNT1;20130322-13:42:19;
AAA548;BFYAAA548CLNT1;20130322-13:42:21;
AAA550;BFYAAA550CLNT1;20130322-13:42:23;
AAA551;BFYAAA551CLNT1;20130322-13:42:24;
AAA552;BFYAAA552CLNT1;20130322-13:42:25;
AAA553;BFYAAA553CLNT1;20130322-13:42:26;
AAA848;BFYAAA848CLNT1;20130326-09:28:58;
AAA2389;BFYAAA2389CLNT1;20130327-14:21:23;
AAA2390;BFYAAA2390CLNT1;20130327-14:21:24;
AAA001;BFYAAA001CLNT1;20130402-07:46:53;
AAA003;BFYAAA003CLNT1;20130402-07:46:55;
AAA004;BFYAAA004CLNT1;20130402-07:46:56;
AAA005;BFYAAA005CLNT1;20130402-07:46:57;
AAA006;BFYAAA006CLNT1;20130402-07:46:58;
AAA007;BFYAAA007CLNT1;20130402-07:46:59;
AAA008;BFYAAA008CLNT1;20130402-07:47:00;
AAA009;BFYAAA009CLNT1;20130402-07:47:01;
AAA010;BFYAAA010CLNT1;20130402-07:47:02;
AAA011;BFYAAA011CLNT1;20130402-07:47:03;
AAA012;BFYAAA012CLNT1;20130402-07:47:04;
AAA013;BFYAAA013CLNT1;20130402-07:47:05;
AAA014;BFYAAA014CLNT1;20130402-07:47:06;
AAA015;BFYAAA015CLNT1;20130402-07:47:07;
AAA016;BFYAAA016CLNT1;20130402-07:47:08;
AAA017;BFYAAA017CLNT1;20130402-07:47:09;
AAA018;BFYAAA018CLNT1;20130402-07:47:10;
AAA019;BFYAAA019CLNT1;20130402-07:47:11;
AAA020;BFYAAA020CLNT1;20130402-07:47:12;
AAA021;BFYAAA021CLNT1;20130402-07:47:13;
AAA022;BFYAAA022CLNT1;20130402-07:47:14;
AAA023;BFYAAA023CLNT1;20130402-07:47:15;
AAA024;BFYAAA024CLNT1;20130402-07:47:16;
AAA025;BFYAAA025CLNT1;20130402-07:47:17;
AAA026;BFYAAA026CLNT1;20130402-07:47:18;
AAA027;BFYAAA027CLNT1;20130402-07:47:19;
AAA028;BFYAAA028CLNT1;20130402-07:47:21;
AAA029;BFYAAA029CLNT1;20130402-07:47:22;
AAA030;BFYAAA030CLNT1;20130402-07:47:23;
AAA031;BFYAAA031CLNT1;20130402-07:47:24;
AAA032;BFYAAA032CLNT1;20130402-07:47:25;
AAA033;BFYAAA033CLNT1;20130402-07:47:26;
AAA034;BFYAAA034CLNT1;20130402-07:47:27;
AAA035;BFYAAA035CLNT1;20130402-07:47:28;
AAA036;BFYAAA036CLNT1;20130402-07:47:29;
AAA037;BFYAAA037CLNT1;20130402-07:47:30;
AAA038;BFYAAA038CLNT1;20130402-07:47:31;
AAA039;BFYAAA039CLNT1;20130402-07:47:32;
AAA040;BFYAAA040CLNT1;20130402-07:47:33;
AAA041;BFYAAA041CLNT1;20130402-07:47:34;
AAA042;BFYAAA042CLNT1;20130402-07:47:35;
AAA043;BFYAAA043CLNT1;20130402-07:47:36;
AAA044;BFYAAA044CLNT1;20130402-07:47:37;
AAA045;BFYAAA045CLNT1;20130402-07:47:38;
AAA046;BFYAAA046CLNT1;20130402-07:49:17;
AAA048;BFYAAA048CLNT1;20130402-07:49:19;
AAA049;BFYAAA049CLNT1;20130402-07:49:20;
AAA050;BFYAAA050CLNT1;20130402-07:49:21;
AAA051;BFYAAA051CLNT1;20130402-07:49:22;
AAA052;BFYAAA052CLNT1;20130402-07:49:23;
AAA053;BFYAAA053CLNT1;20130402-07:49:24;
AAA054;BFYAAA054CLNT1;20130402-07:49:25;
AAA055;BFYAAA055CLNT1;20130402-07:49:26;
AAA056;BFYAAA056CLNT1;20130402-07:49:27;
AAA057;BFYAAA057CLNT1;20130402-07:49:28;
AAA058;BFYAAA058CLNT1;20130402-07:49:29;
AAA059;BFYAAA059CLNT1;20130402-07:49:30;
AAA060;BFYAAA060CLNT1;20130402-07:49:31;
AAA061;BFYAAA061CLNT1;20130402-07:49:32;
AAA062;BFYAAA062CLNT1;20130402-07:49:33;
AAA063;BFYAAA063CLNT1;20130402-07:49:34;
AAA064;BFYAAA064CLNT1;20130402-07:49:36;
AAA065;BFYAAA065CLNT1;20130402-07:49:37;
AAA066;BFYAAA066CLNT1;20130402-07:49:38;
AAA067;BFYAAA067CLNT1;20130402-07:49:39;
AAA068;BFYAAA068CLNT1;20130402-07:49:40;
AAA069;BFYAAA069CLNT1;20130402-07:49:41;
AAA070;BFYAAA070CLNT1;20130402-07:49:42;
AAA071;BFYAAA071CLNT1;20130402-07:49:43;
AAA072;BFYAAA072CLNT1;20130402-07:49:44;
AAA073;BFYAAA073CLNT1;20130402-07:49:45;
AAA074;BFYAAA074CLNT1;20130402-07:49:46;
AAA075;BFYAAA075CLNT1;20130402-07:49:47;
AAA076;BFYAAA076CLNT1;20130402-07:49:48;
AAA077;BFYAAA077CLNT1;20130402-07:49:49;
AAA078;BFYAAA078CLNT1;20130402-07:49:50;
AAA079;BFYAAA079CLNT1;20130402-07:49:51;
AAA080;BFYAAA080CLNT1;20130402-07:49:52;
AAA081;BFYAAA081CLNT1;20130402-07:49:53;
AAA082;BFYAAA082CLNT1;20130402-07:49:54;
AAA083;BFYAAA083CLNT1;20130402-07:49:55;
AAA084;BFYAAA084CLNT1;20130402-07:49:56;
AAA085;BFYAAA085CLNT1;20130402-07:49:57;
AAA086;BFYAAA086CLNT1;20130402-07:49:58;
AAA087;BFYAAA087CLNT1;20130402-07:49:59;
AAA088;BFYAAA088CLNT1;20130402-07:50:00;
AAA089;BFYAAA089CLNT1;20130402-07:50:01;
AAA090;BFYAAA090CLNT1;20130402-07:50:02;
AAA091;BFYAAA091CLNT1;20130402-07:57:54;
AAA092;BFYAAA092CLNT1;20130402-07:57:55;
AAA093;BFYAAA093CLNT1;20130402-07:57:56;
AAA094;BFYAAA094CLNT1;20130402-07:57:57;
AAA095;BFYAAA095CLNT1;20130402-07:57:58;
AAA096;BFYAAA096CLNT1;20130402-07:57:59;
AAA097;BFYAAA097CLNT1;20130402-07:58:00;
AAA098;BFYAAA098CLNT1;20130402-07:58:01;
AAA099;BFYAAA099CLNT1;20130402-07:58:02;
AAA100;BFYAAA100CLNT1;20130402-07:58:03;
AAA101;BFYAAA101CLNT1;20130402-07:58:04;
AAA102;BFYAAA102CLNT1;20130402-07:58:05;
AAA103;BFYAAA103CLNT1;20130402-07:58:06;
AAA104;BFYAAA104CLNT1;20130402-07:58:07;
AAA105;BFYAAA105CLNT1;20130402-07:58:08;
AAA106;BFYAAA106CLNT1;20130402-07:58:09;
AAA107;BFYAAA107CLNT1;20130402-07:58:10;
AAA108;BFYAAA108CLNT1;20130402-07:58:11;
AAA109;BFYAAA109CLNT1;20130402-07:58:12;
AAA110;BFYAAA110CLNT1;20130402-07:58:13;
AAA111;BFYAAA111CLNT1;20130402-07:58:14;
AAA112;BFYAAA112CLNT1;20130402-07:58:15;
AAA113;BFYAAA113CLNT1;20130402-07:58:16;
AAA114;BFYAAA114CLNT1;20130402-07:58:17;
AAA115;BFYAAA115CLNT1;20130402-07:58:18;
AAA116;BFYAAA116CLNT1;20130402-07:58:19;
AAA117;BFYAAA117CLNT1;20130402-07:58:20;
AAA118;BFYAAA118CLNT1;20130402-07:58:21;
AAA119;BFYAAA119CLNT1;20130402-07:58:22;
AAA120;BFYAAA120CLNT1;20130402-07:58:24;
AAA121;BFYAAA121CLNT1;20130402-07:58:25;
AAA122;BFYAAA122CLNT1;20130402-07:58:26;
AAA123;BFYAAA123CLNT1;20130402-07:58:27;
AAA124;BFYAAA124CLNT1;20130402-07:58:28;
AAA125;BFYAAA125CLNT1;20130402-07:58:29;
AAA126;BFYAAA126CLNT1;20130402-07:58:30;
AAA127;BFYAAA127CLNT1;20130402-07:58:31;
AAA128;BFYAAA128CLNT1;20130402-07:58:32;
AAA129;BFYAAA129CLNT1;20130402-07:58:33;
AAA130;BFYAAA130CLNT1;20130402-07:58:34;
AAA131;BFYAAA131CLNT1;20130402-07:58:35;
AAA132;BFYAAA132CLNT1;20130402-07:58:36;
AAA133;BFYAAA133CLNT1;20130402-07:58:37;
AAA134;BFYAAA134CLNT1;20130402-07:58:38;
AAA135;BFYAAA135CLNT1;20130402-07:58:39;
AAA136;BFYAAA136CLNT1;20130402-07:58:40;
AAA137;BFYAAA137CLNT1;20130402-07:58:41;
AAA138;BFYAAA138CLNT1;20130402-08:40:38;
AAA139;BFYAAA139CLNT1;20130402-08:54:21;
AAA140;BFYAAA140CLNT1;20130402-08:54:22;
AAA141;BFYAAA141CLNT1;20130402-08:54:23;
AAA142;BFYAAA142CLNT1;20130402-08:54:24;
AAA143;BFYAAA143CLNT1;20130402-08:54:25;
AAA144;BFYAAA144CLNT1;20130402-08:54:27;
AAA145;BFYAAA145CLNT1;20130402-08:54:28;
AAA146;BFYAAA146CLNT1;20130402-08:54:29;
AAA147;BFYAAA147CLNT1;20130402-08:54:30;
AAA148;BFYAAA148CLNT1;20130402-08:54:31;
AAA149;BFYAAA149CLNT1;20130402-08:54:32;
AAA150;BFYAAA150CLNT1;20130402-08:54:33;
AAA151;BFYAAA151CLNT1;20130402-08:54:34;
AAA152;BFYAAA152CLNT1;20130402-08:54:35;
AAA153;BFYAAA153CLNT1;20130402-08:54:36;
AAA154;BFYAAA154CLNT1;20130402-08:54:37;
AAA155;BFYAAA155CLNT1;20130402-08:54:38;
AAA156;BFYAAA156CLNT1;20130402-08:54:39;
AAA157;BFYAAA157CLNT1;20130402-08:54:40;
AAA158;BFYAAA158CLNT1;20130402-08:54:41;
AAA159;BFYAAA159CLNT1;20130402-08:54:42;
AAA160;BFYAAA160CLNT1;20130402-08:54:43;
AAA161;BFYAAA161CLNT1;20130402-08:54:44;
AAA162;BFYAAA162CLNT1;20130402-08:54:45;
AAA163;BFYAAA163CLNT1;20130402-08:54:46;
AAA164;BFYAAA164CLNT1;20130402-08:54:47;
AAA165;BFYAAA165CLNT1;20130402-08:54:48;
AAA166;BFYAAA166CLNT1;20130402-08:54:49;
AAA167;BFYAAA167CLNT1;20130402-08:54:50;
AAA168;BFYAAA168CLNT1;20130402-08:54:51;
AAA169;BFYAAA169CLNT1;20130402-08:54:52;
AAA170;BFYAAA170CLNT1;20130402-08:54:53;
AAA171;BFYAAA171CLNT1;20130402-08:54:54;
AAA172;BFYAAA172CLNT1;20130402-08:54:55;
AAA173;BFYAAA173CLNT1;20130402-08:54:56;
AAA174;BFYAAA174CLNT1;20130402-08:54:57;
AAA175;BFYAAA175CLNT1;20130402-08:54:58;
AAA176;BFYAAA176CLNT1;20130402-08:54:59;
AAA177;BFYAAA177CLNT1;20130402-08:55:00;
AAA178;BFYAAA178CLNT1;20130402-08:55:01;
AAA179;BFYAAA179CLNT1;20130402-08:55:02;
AAA180;BFYAAA180CLNT1;20130402-08:55:03;
AAA181;BFYAAA181CLNT1;20130402-08:55:04;
AAA182;BFYAAA182CLNT1;20130402-09:13:07;
AAA183;BFYAAA183CLNT1;20130402-09:13:08;
AAA184;BFYAAA184CLNT1;20130402-09:13:09;
AAA185;BFYAAA185CLNT1;20130402-09:13:10;
AAA186;BFYAAA186CLNT1;20130402-09:13:11;
AAA187;BFYAAA187CLNT1;20130402-09:13:12;
AAA188;BFYAAA188CLNT1;20130402-09:13:13;
AAA189;BFYAAA189CLNT1;20130402-09:13:14;
AAA190;BFYAAA190CLNT1;20130402-09:13:15;
AAA191;BFYAAA191CLNT1;20130402-09:13:16;
AAA192;BFYAAA192CLNT1;20130402-09:13:17;
AAA193;BFYAAA193CLNT1;20130402-09:13:18;
AAA194;BFYAAA194CLNT1;20130402-09:13:19;
AAA195;BFYAAA195CLNT1;20130402-09:13:20;
AAA197;BFYAAA197CLNT1;20130402-09:13:22;
AAA198;BFYAAA198CLNT1;20130402-09:13:23;
AAA199;BFYAAA199CLNT1;20130402-09:13:24;
AAA200;BFYAAA200CLNT1;20130402-09:13:25;
AAA201;BFYAAA201CLNT1;20130402-09:13:26;
AAA202;BFYAAA202CLNT1;20130402-09:13:27;
AAA203;BFYAAA203CLNT1;20130402-09:13:29;
AAA204;BFYAAA204CLNT1;20130402-09:13:30;
AAA205;BFYAAA205CLNT1;20130402-09:13:31;
AAA206;BFYAAA206CLNT1;20130402-09:13:32;
AAA207;BFYAAA207CLNT1;20130402-09:13:33;
AAA208;BFYAAA208CLNT1;20130402-09:13:34;
AAA209;BFYAAA209CLNT1;20130402-09:13:35;
AAA210;BFYAAA210CLNT1;20130402-09:13:36;
AAA211;BFYAAA211CLNT1;20130402-09:13:37;
AAA212;BFYAAA212CLNT1;20130402-09:13:38;
AAA213;BFYAAA213CLNT1;20130402-09:13:39;
AAA214;BFYAAA214CLNT1;20130402-09:13:40;
AAA215;BFYAAA215CLNT1;20130402-09:13:41;
AAA216;BFYAAA216CLNT1;20130402-09:13:42;
AAA217;BFYAAA217CLNT1;20130402-09:13:43;
AAA218;BFYAAA218CLNT1;20130402-09:13:44;
AAA219;BFYAAA219CLNT1;20130402-09:13:45;
AAA220;BFYAAA220CLNT1;20130402-09:13:46;
AAA221;BFYAAA221CLNT1;20130402-09:13:47;
AAA222;BFYAAA222CLNT1;20130402-09:13:48;
AAA223;BFYAAA223CLNT1;20130402-09:13:49;
AAA224;BFYAAA224CLNT1;20130402-09:13:50;
AAA225;BFYAAA225CLNT1;20130402-09:13:51;
AAA226;BFYAAA226CLNT1;20130402-09:13:52;
AAA227;BFYAAA227CLNT1;20130402-09:13:53;
AAA228;BFYAAA228CLNT1;20130402-09:13:54;
AAA229;BFYAAA229CLNT1;20130402-09:53:10;
AAA230;BFYAAA230CLNT1;20130402-09:54:29;
AAA231;BFYAAA231CLNT1;20130402-09:55:15;
AAA232;BFYAAA232CLNT1;20130402-09:55:16;
AAA242;BFYAAA242CLNT1;20130402-10:24:10;
AAA245;BFYAAA245CLNT1;20130402-10:24:13;
AAA246;BFYAAA246CLNT1;20130402-10:24:14;
AAA247;BFYAAA247CLNT1;20130402-10:24:15;
AAA248;BFYAAA248CLNT1;20130402-10:24:17;
AAA249;BFYAAA249CLNT1;20130402-10:24:18;
AAA250;BFYAAA250CLNT1;20130402-10:24:19;
AAA251;BFYAAA251CLNT1;20130402-10:24:20;
AAA252;BFYAAA252CLNT1;20130402-10:24:21;
AAA253;BFYAAA253CLNT1;20130402-10:24:22;
AAA254;BFYAAA254CLNT1;20130402-10:24:23;
AAA255;BFYAAA255CLNT1;20130402-10:24:24;
AAA256;BFYAAA256CLNT1;20130402-10:24:25;
AAA257;BFYAAA257CLNT1;20130402-10:24:26;
AAA258;BFYAAA258CLNT1;20130402-10:24:27;
AAA259;BFYAAA259CLNT1;20130402-10:24:28;
AAA260;BFYAAA260CLNT1;20130402-10:24:29;
AAA261;BFYAAA261CLNT1;20130402-10:24:30;
AAA262;BFYAAA262CLNT1;20130402-10:24:31;
AAA263;BFYAAA263CLNT1;20130402-10:35:32;
AAA264;BFYAAA264CLNT1;20130402-10:35:33;
AAA265;BFYAAA265CLNT1;20130402-10:35:34;
AAA266;BFYAAA266CLNT1;20130402-10:35:35;
AAA267;BFYAAA267CLNT1;20130402-10:35:36;
AAA268;BFYAAA268CLNT1;20130402-10:35:37;
AAA269;BFYAAA269CLNT1;20130402-10:35:38;
AAA270;BFYAAA270CLNT1;20130402-10:35:39;
AAA271;BFYAAA271CLNT1;20130402-10:35:40;
AAA272;BFYAAA272CLNT1;20130402-10:35:41;
AAA273;BFYAAA273CLNT1;20130402-10:35:42;
AAA274;BFYAAA274CLNT1;20130402-10:35:43;
AAA275;BFYAAA275CLNT1;20130402-10:35:44;
AAA276;BFYAAA276CLNT1;20130402-10:35:45;
AAA278;BFYAAA278CLNT1;20130402-10:35:47;
AAA279;BFYAAA279CLNT1;20130402-10:35:48;
AAA280;BFYAAA280CLNT1;20130402-10:35:49;
AAA281;BFYAAA281CLNT1;20130402-10:35:50;
AAA282;BFYAAA282CLNT1;20130402-10:35:51;
AAA283;BFYAAA283CLNT1;20130402-10:35:52;
AAA284;BFYAAA284CLNT1;20130402-10:35:54;
AAA285;BFYAAA285CLNT1;20130402-10:35:55;
AAA286;BFYAAA286CLNT1;20130402-10:35:56;
AAA287;BFYAAA287CLNT1;20130402-10:35:57;
AAA288;BFYAAA288CLNT1;20130402-10:35:58;
AAA289;BFYAAA289CLNT1;20130402-10:35:59;
AAA290;BFYAAA290CLNT1;20130402-10:36:00;
AAA291;BFYAAA291CLNT1;20130402-10:36:01;
AAA292;BFYAAA292CLNT1;20130402-10:36:02;
AAA293;BFYAAA293CLNT1;20130402-10:36:03;
AAA294;BFYAAA294CLNT1;20130402-10:36:04;
AAA295;BFYAAA295CLNT1;20130402-10:36:05;
AAA296;BFYAAA296CLNT1;20130402-10:36:06;
AAA297;BFYAAA297CLNT1;20130402-10:36:07;
AAA298;BFYAAA298CLNT1;20130402-10:36:08;
AAA299;BFYAAA299CLNT1;20130402-10:36:09;
AAA300;BFYAAA300CLNT1;20130402-10:36:10;
AAA301;BFYAAA301CLNT1;20130402-10:36:11;
AAA302;BFYAAA302CLNT1;20130402-10:36:12;
AAA303;BFYAAA303CLNT1;20130402-10:36:13;
AAA304;BFYAAA304CLNT1;20130402-10:36:14;
AAA305;BFYAAA305CLNT1;20130402-10:36:15;
AAA306;BFYAAA306CLNT1;20130402-10:36:16;
AAA307;BFYAAA307CLNT1;20130402-10:36:17;
AAA308;BFYAAA308CLNT1;20130402-10:36:18;
AAA309;BFYAAA309CLNT1;20130402-10:36:19;
AAA310;BFYAAA310CLNT1;20130402-10:36:20;
AAA311;BFYAAA311CLNT1;20130402-10:36:21;
AAA312;BFYAAA312CLNT1;20130402-10:36:22;
AAA313;BFYAAA313CLNT1;20130402-10:36:23;
AAA314;BFYAAA314CLNT1;20130402-10:51:35;
AAA315;BFYAAA315CLNT1;20130402-10:51:36;
AAA316;BFYAAA316CLNT1;20130402-10:51:37;
AAA317;BFYAAA317CLNT1;20130402-10:51:38;
AAA318;BFYAAA318CLNT1;20130402-10:51:39;
AAA319;BFYAAA319CLNT1;20130402-10:51:40;
AAA320;BFYAAA320CLNT1;20130402-10:51:41;
AAA321;BFYAAA321CLNT1;20130402-10:51:42;
AAA322;BFYAAA322CLNT1;20130402-10:51:43;
AAA323;BFYAAA323CLNT1;20130402-10:51:44;
AAA324;BFYAAA324CLNT1;20130402-10:51:45;
AAA325;BFYAAA325CLNT1;20130402-10:51:46;
AAA326;BFYAAA326CLNT1;20130402-10:51:47;
AAA327;BFYAAA327CLNT1;20130402-10:51:48;
AAA328;BFYAAA328CLNT1;20130402-10:51:49;
AAA329;BFYAAA329CLNT1;20130402-10:51:50;
AAA330;BFYAAA330CLNT1;20130402-10:51:51;
AAA331;BFYAAA331CLNT1;20130402-10:51:52;
AAA332;BFYAAA332CLNT1;20130402-10:51:53;
AAA333;BFYAAA333CLNT1;20130402-10:51:54;
AAA334;BFYAAA334CLNT1;20130402-10:51:55;
AAA335;BFYAAA335CLNT1;20130402-10:51:56;
AAA336;BFYAAA336CLNT1;20130402-10:51:57;
AAA337;BFYAAA337CLNT1;20130402-10:51:59;
AAA338;BFYAAA338CLNT1;20130402-10:52:00;
AAA339;BFYAAA339CLNT1;20130402-10:52:01;
AAA340;BFYAAA340CLNT1;20130402-10:52:02;
AAA341;BFYAAA341CLNT1;20130402-10:52:03;
AAA342;BFYAAA342CLNT1;20130402-10:52:04;
AAA343;BFYAAA343CLNT1;20130402-10:52:05;
AAA344;BFYAAA344CLNT1;20130402-10:52:06;
AAA345;BFYAAA345CLNT1;20130402-10:52:07;
AAA346;BFYAAA346CLNT1;20130402-10:52:08;
AAA347;BFYAAA347CLNT1;20130402-10:52:09;
AAA348;BFYAAA348CLNT1;20130402-10:52:10;
AAA349;BFYAAA349CLNT1;20130402-10:52:11;
AAA350;BFYAAA350CLNT1;20130402-10:52:12;
AAA351;BFYAAA351CLNT1;20130402-10:52:13;
AAA352;BFYAAA352CLNT1;20130402-10:52:14;
AAA353;BFYAAA353CLNT1;20130402-11:03:10;
AAA354;BFYAAA354CLNT1;20130402-11:03:11;
AAA355;BFYAAA355CLNT1;20130402-11:03:12;
AAA356;BFYAAA356CLNT1;20130402-11:03:13;
AAA357;BFYAAA357CLNT1;20130402-11:03:14;
AAA358;BFYAAA358CLNT1;20130402-11:03:15;
AAA359;BFYAAA359CLNT1;20130402-11:03:16;
AAA360;BFYAAA360CLNT1;20130402-11:03:17;
AAA361;BFYAAA361CLNT1;20130402-11:03:18;
AAA362;BFYAAA362CLNT1;20130402-11:03:19;
AAA363;BFYAAA363CLNT1;20130402-11:03:20;
AAA364;BFYAAA364CLNT1;20130402-11:03:21;
AAA365;BFYAAA365CLNT1;20130402-11:03:22;
AAA366;BFYAAA366CLNT1;20130402-11:03:23;
AAA367;BFYAAA367CLNT1;20130402-11:03:24;
AAA368;BFYAAA368CLNT1;20130402-11:03:25;
AAA369;BFYAAA369CLNT1;20130402-11:03:26;
AAA370;BFYAAA370CLNT1;20130402-11:03:27;
AAA371;BFYAAA371CLNT1;20130402-11:03:28;
AAA372;BFYAAA372CLNT1;20130402-11:03:29;
AAA373;BFYAAA373CLNT1;20130402-11:03:30;
AAA374;BFYAAA374CLNT1;20130402-11:03:31;
AAA375;BFYAAA375CLNT1;20130402-11:03:32;
AAA376;BFYAAA376CLNT1;20130402-11:04:09;
AAA377;BFYAAA377CLNT1;20130402-11:04:10;
AAA378;BFYAAA378CLNT1;20130402-11:04:11;
AAA379;BFYAAA379CLNT1;20130402-11:04:12;
AAA380;BFYAAA380CLNT1;20130402-11:04:13;
AAA381;BFYAAA381CLNT1;20130402-11:04:14;
AAA382;BFYAAA382CLNT1;20130402-11:04:15;
AAA383;BFYAAA383CLNT1;20130402-11:04:16;
AAA384;BFYAAA384CLNT1;20130402-11:04:17;
AAA385;BFYAAA385CLNT1;20130402-11:04:18;
AAA386;BFYAAA386CLNT1;20130402-11:04:19;
AAA387;BFYAAA387CLNT1;20130402-11:04:20;
AAA388;BFYAAA388CLNT1;20130402-11:04:21;
AAA389;BFYAAA389CLNT1;20130402-11:04:22;
AAA390;BFYAAA390CLNT1;20130402-11:04:23;
AAA391;BFYAAA391CLNT1;20130402-11:04:24;
AAA392;BFYAAA392CLNT1;20130402-11:04:25;
AAA393;BFYAAA393CLNT1;20130402-11:04:26;
AAA394;BFYAAA394CLNT1;20130402-11:04:27;
AAA395;BFYAAA395CLNT1;20130402-11:04:28;
AAA396;BFYAAA396CLNT1;20130402-11:04:30;
AAA397;BFYAAA397CLNT1;20130402-11:04:31;
AAA398;BFYAAA398CLNT1;20130402-11:04:32;
AAA399;BFYAAA399CLNT1;20130402-11:11:16;
AAA402;BFYAAA402CLNT1;20130402-11:11:19;
AAA403;BFYAAA403CLNT1;20130402-11:11:20;
AAA404;BFYAAA404CLNT1;20130402-11:11:21;
AAA405;BFYAAA405CLNT1;20130402-11:11:22;
AAA406;BFYAAA406CLNT1;20130402-11:11:23;
AAA407;BFYAAA407CLNT1;20130402-11:11:24;
AAA408;BFYAAA408CLNT1;20130402-11:11:25;
AAA409;BFYAAA409CLNT1;20130402-11:11:26;
AAA410;BFYAAA410CLNT1;20130402-11:11:27;
AAA411;BFYAAA411CLNT1;20130402-11:11:28;
AAA412;BFYAAA412CLNT1;20130402-11:11:29;
AAA413;BFYAAA413CLNT1;20130402-11:11:30;
AAA414;BFYAAA414CLNT1;20130402-11:11:31;
AAA415;BFYAAA415CLNT1;20130402-11:11:32;
AAA416;BFYAAA416CLNT1;20130402-11:11:33;
AAA417;BFYAAA417CLNT1;20130402-11:11:34;
AAA420;BFYAAA420CLNT1;20130402-13:48:18;
AAA421;BFYAAA421CLNT1;20130402-13:53:22;
AAA422;BFYAAA422CLNT1;20130402-14:02:35;
AAA423;BFYAAA423CLNT1;20130402-14:04:01;
AAA424;BFYAAA424CLNT1;20130402-14:14:38;
AAA427;BFYAAA427CLNT1;20130402-14:29:59;
AAA428;BFYAAA428CLNT1;20130402-14:38:54;
